"","long","lat","order","hole","piece","group","id"
"195",-95.67368109,29.95265223,10175,FALSE,"1","1055.1",1055
"196",-95.67369609,29.95262123,10176,FALSE,"1","1055.1",1055
"197",-95.67371909,29.95257323,10177,FALSE,"1","1055.1",1055
"198",-95.67377909,29.95244823,10178,FALSE,"1","1055.1",1055
"199",-95.67382609,29.95235023,10179,FALSE,"1","1055.1",1055
"200",-95.67394109,29.95211123,10180,FALSE,"1","1055.1",1055
"201",-95.67400309,29.95198323,10181,FALSE,"1","1055.1",1055
"202",-95.67431909,29.95132623,10182,FALSE,"1","1055.1",1055
"203",-95.67469309,29.95054923,10183,FALSE,"1","1055.1",1055
"204",-95.67491609,29.95007623,10184,FALSE,"1","1055.1",1055
"205",-95.67507709,29.94974023,10185,FALSE,"1","1055.1",1055
"206",-95.67537809,29.94910923,10186,FALSE,"1","1055.1",1055
"207",-95.67547209,29.94890823,10187,FALSE,"1","1055.1",1055
"208",-95.67555509,29.94873323,10188,FALSE,"1","1055.1",1055
"209",-95.67561009,29.94861822,10189,FALSE,"1","1055.1",1055
"210",-95.67590909,29.94799422,10190,FALSE,"1","1055.1",1055
"211",-95.67631409,29.94715122,10191,FALSE,"1","1055.1",1055
"212",-95.67634909,29.94707822,10192,FALSE,"1","1055.1",1055
"213",-95.67738109,29.94493822,10193,FALSE,"1","1055.1",1055
"214",-95.67855309,29.94249722,10194,FALSE,"1","1055.1",1055
"215",-95.67897609,29.94266422,10195,FALSE,"1","1055.1",1055
"216",-95.67954509,29.94285922,10196,FALSE,"1","1055.1",1055
"217",-95.67980109,29.94293622,10197,FALSE,"1","1055.1",1055
"218",-95.68004709,29.94300422,10198,FALSE,"1","1055.1",1055
"219",-95.68038309,29.94307622,10199,FALSE,"1","1055.1",1055
"220",-95.68075309,29.94314022,10200,FALSE,"1","1055.1",1055
"221",-95.68104609,29.94317722,10201,FALSE,"1","1055.1",1055
"222",-95.68113009,29.94318822,10202,FALSE,"1","1055.1",1055
"223",-95.68175809,29.94323622,10203,FALSE,"1","1055.1",1055
